word,meaning,word_type,last_sound,can_combine
ಅಪೇಕ್ಷಣೀಯ,Desirable,prefix,ಯ,yes
ನೆಲೆಸಿ,settle down,noun,ಿ,no
ಮೂಲಸಾಧನಗಳು,resources,noun,ು,no
ಸಂಪಾದಿತ,Edited,prefix,ತ,yes
ಕೇಂದ್ರೀಕೃತವಾಗಲಾರವು,Cannot be concentrated,noun,ು,no
ಗಣಿಗಳ,of mines,noun,ಳ,no
ಸಂಪರ್ಕ,contact,prefix,ಕ,yes
ಕಬ್ಬಿಣ,iron,noun,ಣ,yes
ಚರ್ಚೆ,discussion,noun,ೆ,no
ಹಿಂದೆಯೇ,in the past,noun,ೇ,no
ಸರಿಪಡಿಸಲು,to fix,noun,ು,no
ಮಾಹಿತಿ,Information,noun,ಿ,no
ಉಲ್ಲೇಖಿಸಿ,refer to,noun,ಿ,no
ಸಣ್ಣ,small,noun,ಣ,yes
ಆರ್,R,noun,್,no
ಮಾಡು,do,noun,ು,no
ಗಳು,s,noun,ು,no
ಮರೆ,hide,noun,ೆ,no
ಮಹಾಮುನಿಗಳನ್ನು,Great sages,prefix,ು,yes
ಹುಟ್ಟುವ,to be born,noun,ವ,yes
ಬ್ರಹ್ಮಗಿರಿ,celibacy,noun,ಿ,no
ಹೊಸ,New,noun,ಸ,no
ಕವೇರ,Kavera,noun,ರ,yes
ಹೇಳಿಕೊಂಡಳು,She said,noun,ು,no
ಚಳಿಗಾಲ,winter,noun,ಲ,yes
ಪಲ್ಲೆ,Palle,noun,ೆ,no
ಆದರೆ,But,noun,ೆ,no
ಜನಸಂಖ್ಯೆ,Population,noun,ೆ,no
ಮಳೆ,the rain,noun,ೆ,no
ಶೇಖರವಾದರೆ,If accumulated,noun,ೆ,no
ಬಳಸಿಕೊಳ್ಳುತ್ತವೆ,use,noun,ೆ,no
ಬಂದು,come,noun,ು,no
ಆರೋಗ್ಯ,health,noun,ಯ,yes
ಪಿತ್ತರಸ,Bile,noun,ಸ,no
ತೊಗಟೆ,bark,noun,ೆ,no
ಸಾಲುಗಳ,of lines,noun,ಳ,no
ಸನ್ಮಾನ,an honor,noun,ನ,yes
ಚಿತ್ರಗಳಿಗೆ,For pictures,noun,ೆ,no
ಹಾಡೊಂದನ್ನು,A song,noun,ು,no
ಭಾಗವತರು,Participant,noun,ು,no
ಜೀವಕಣ,a living cell,noun,ಣ,yes
ಪ್ರಾಣಿಗಳು,Animals,prefix,ು,yes
ರೆಗ್ಯುಲೇಟಿವ್,Regulatory,noun,್,no
ಉಪಯೋಗಿಸಿಕೊಂಡು,By using,prefix,ು,yes
ಬೆಳೆಯುತ್ತದೆ,grows up,noun,ೆ,no
ಕಳೆದುಕೊಂಡರೂ,Even if lost,noun,ೂ,no
ಕೊಳ್ಳಬೇಕು,Must buy,noun,ು,no
ಬಹುದು,can,noun,ು,no
ಜೀರಿಗೆ,cumin,noun,ೆ,no
ನೀರು,water,noun,ು,no
ವಿವರಣೆ,Description,prefix,ೆ,yes
ಸಿಪ್ಪೆ,Peel,noun,ೆ,no
ಉತ್ತಮಗೊಳಿಸುವಲ್ಲಿ,In optimizing,noun,ಿ,no
ಹೆಚ್ಚಿನ,more,noun,ನ,yes
ಯೋಜನೆಯನ್ನು,the plan,noun,ು,no
ಹಾರ್ಡ್,Hard,noun,್,no
ವ್ಯಾಟ್ನಬೇ,Why not?,noun,ೇ,no
ನೆರವಿನ,of assistance,noun,ನ,yes
ಚಿಕಿತ್ಸೆ,treatment,noun,ೆ,no
ವೃತ್ತಿಯಾಗಿ,as a profession,noun,ಿ,no
ಹತ್ತಿರವಿರುವ,nearby,noun,ವ,yes
ವೀಲ್,Wheel,noun,್,no
ಆರಾಧಿಸಿದ,adored,noun,ದ,yes
ನಟಿ,actress,noun,ಿ,no
ಪ್ರಶಸ್ತಿ,award,prefix,ಿ,yes
ಆಕಾಂಕ್ಷಾ,Aspiration,noun,ಾ,no
ನೋಡುಗರ,of the seers,noun,ರ,yes
ವಿವಾದ,dispute,noun,ದ,yes
ಪ್ರಧಾನಿ,Prime Minister,prefix,ಿ,yes
ಕ್ರೆಸಾಲ್,Cresol,noun,್,no
ಟೂತ್,Tooth,noun,್,no
ಸ್ವಚ್ಛವಾಗಿಟ್ಟಿರುವುದು,Keeping it clean,noun,ು,no
ಪ್ರಕಾಶವಿರುವ,Bright,prefix,ವ,yes
ಆವೃತ್ತಿಯಿಂದ,From the version,noun,ದ,yes
ವಾಂಡರರ್ಸ್,Wanderers,noun,್,no
ಸೋತಿತ್ತು,had lost,noun,ು,no
ಒಳಗಾಗಿದ್ದ,underwent,noun,ದ,yes
ವಿಸಿಎ,VCA,prefix,ಎ,yes
ಸಾಧನೆ,achievement,noun,ೆ,no
ಅವಧಿಯಲ್ಲಿ,During the period,prefix,ಿ,yes
ಪಕ್ಷಗಳ,of the parties,noun,ಳ,no
ಗೋಲಿ,Golly,noun,ಿ,no
ನಾಯಕನನ್ನಾಗಿ,As a leader,noun,ಿ,no
ಪ್ರದರ್ಶನದ,of the show,prefix,ದ,yes
ಬಹ್ರೇನ್,Bahrain,noun,್,no
ಇಸ್ಲಾಮ್,Islam,noun,್,no
ಅನಿಲಗಳ,of gases,prefix,ಳ,yes
ತುತ್ತೂರಿಯ,of the trumpet,noun,ಯ,yes
ಫ್ರೆಂಚ್,French,noun,್,no
ಬರುತ್ತಿರುವಾಗ,while coming,noun,ಗ,yes
ನಂದಿ,Nandi,noun,ಿ,no
ಈತನ,He is,noun,ನ,yes
ಮೋರೆಯವನೆ,Moreyavane,noun,ೆ,no
ಪಾರ್ವತಿಯೊಂದಿಗೆ,with Parvati,noun,ೆ,no
ಬಾಹ್ಯ,External,noun,ಯ,yes
ಭಗನ,Lord,noun,ನ,yes
ಪಾರ್ಶ್ವ,lateral,noun,ವ,yes
ರೇಖೀಯ,linear,noun,ಯ,yes
ರೇಖೆಗಳಿಗೆ,to the lines,noun,ೆ,no
ಆಕಾಶದಲ್ಲಿ,in the sky,noun,ಿ,no
ಪರಿಣಾಮವನ್ನು,effect,noun,ು,no
ಒಳಗೊಂಡಿರಬಹುದು,may include,noun,ು,no
ತಿಳಿ,know,noun,ಿ,no
ಜಲಚರಗಳ,of aquatic life,noun,ಳ,no
ಅಳವಡಿಸಿಕೊಂಡರು,Adopted,prefix,ು,yes
ಬ್ಲೈಂಡ್,Blind,noun,್,no
ವ್ಯಾಪಾರದಲ್ಲಿ,in business,noun,ಿ,no
ಸ್ಚವಾರ್ಜ್,Schwarz,noun,್,no
ಕಾಳಜಿಯನ್ನು,concern,noun,ು,no
ಆದ,Became,adjective,ದ,yes
ಇಡ್ಲಿ,Idli,noun,ಿ,no
ಬೆಂಗಳೂರಿನ,Bangalore,noun,ನ,yes
ಕುಳಿತುಕೊಂಡು,sitting down,noun,ು,no
ವ್ಯಕ್ತಿಯು,the person,noun,ು,no
ದುಡಿದಿದ್ದಾರೆ,have worked,prefix,ೆ,yes
೧೯೯೮ರ,1998,noun,ರ,yes
ಬಂಟ್ವಾಳ,Bantwala,noun,ಳ,no
ಸಹಾ,Co,noun,ಾ,no
ಕೃತಿಯು,The work,noun,ು,no
೧೯೩೪ರಂದು,On 1934,noun,ು,no
ನೀಗ್ರೋ,the negro,noun,ೋ,no
ದೊಡ್ಡ,big,noun,ಡ,yes
ಸೊಂಟ,waist,noun,ಟ,no
ಕುಟುಂಬಕ್ಕೆ,to the family,noun,ೆ,no
ರಕ್ಷಣೆಯ,of protection,noun,ಯ,yes
ಮರಣವಾಗಬಹುದು,May die,noun,ು,no
ಸಂಪ್ರದಾಯಗಳಲ್ಲಿ,In traditions,prefix,ಿ,yes
ರಿಯಲ್,Real,noun,್,no
ವಾಸುದೇವ,Vasudeva,noun,ವ,yes
ಹೆಸರಾಗಿದೆ,is the name,noun,ೆ,no
ಕಂಡುಹಿಡಿಯಲಾಯಿತು,was discovered,noun,ು,no
ಧಾರಕ,container,noun,ಕ,yes
ತಯಾರಿಸಲು,to prepare,noun,ು,no
ಮಹಾ,great,prefix,ಆ,yes
ಮನೆ,house,noun,ಎ,yes
ಆತ್ಮ,soul,noun,ಆ,yes
ಪುಸ್ತಕ,book,noun,ಕ,yes
ರಾಜ,king,noun,ಅ,yes
ನಗರ,city,noun,ಅ,yes
ಗುರು,teacher,noun,ಉ,yes
ಭಾಷೆ,language,noun,ಎ,yes
ನದಿ,river,noun,ಇ,yes
ಉದಯ,rise,noun,ಅ,yes
ಖಾಸಗಿ,Private,noun,ಿ,no
ವಿನಿಯೋಜನೆಯನ್ನು,Assignment,prefix,ು,yes
ಧಾನ್ಯಗಳ,of grains,noun,ಳ,no
ವಿಶೇಷ,special,prefix,ಷ,yes
ಯಾವುದೋ,something,noun,ೋ,no
ಪ್ರಾರಂಭದಿಂದಲೂ,From the beginning,prefix,ೂ,yes
ಗ್ರಂಥಗಳ,of scriptures,noun,ಳ,no
ಗೌರವ,respect,noun,ವ,yes
ಅವಶ್ಯಕ,necessary,prefix,ಕ,yes
ನಿರ್ದೇಶನದ,directed,noun,ದ,yes
ಪರೀಕ್ಷಿಸಿದಾಗ,When tested,noun,ಗ,yes
ಲಕ್ಷಣವಾಗಿದೆ,is characteristic,noun,ೆ,no
ನೇರವಾದ,direct,noun,ದ,yes
ಎಲ್ಲಾ,All,noun,ಾ,no
ಹೆಚ್ಚುವರಿ,extra,noun,ಿ,no
ಇಂದ,from,noun,ದ,yes
ಸಹಾಯ,help,noun,ಯ,yes
ನಲ್ಲಿ,at,noun,ಿ,no
ಹಿಮಾಲಯದ,of the Himalayas,noun,ದ,yes
ಎರಡು,Two,noun,ು,no
ಹೆಸರು,name,noun,ು,no
ಕಪ್,Cup,noun,್,no
ಮೆಷಿನ್,machine,noun,್,no
ಉಲ್ಲೇಖಗಳು,References,noun,ು,no
ತನ್ನ,His,noun,ನ,yes
ತಂದಿತು,brought,noun,ು,no
ಇದೆ,There is,noun,ೆ,no
ಆತಿಥ್ಯ,Hospitality,noun,ಯ,yes
ನಡುವೆ,in between,noun,ೆ,no
ವೋಲೆ,Vole,noun,ೆ,no
ಸಂಕಲನ,Compilation,prefix,ನ,yes
ತೂಕ,weight,noun,ಕ,yes
ಬಿಡುಗಡೆಹೊಂದಿದ,Released,noun,ದ,yes
ಹಾಕಿದರೆ,If put,noun,ೆ,no
ಹೊಂದುತ್ತವೆ,have,noun,ೆ,no
ಹೈಡ್ರೋಬ್ರೋಮಿಕ್,Hydrobromic,noun,್,no
ಮಾಂಸ,the meat,noun,ಸ,no
ಹಕ್ಕಿ,the bird,noun,ಿ,no
ಆಹಾರ,food,noun,ರ,yes
ಆಫ್ರಿಕಾವು,Africa,noun,ು,no
ಪಂದ್ಯಗಳನ್ನಾಡಿದರು,Matches were played,noun,ು,no
ಗಾಯದ,injury,noun,ದ,yes
ಯಶಸ್ವಿ,Successful,noun,ಿ,no
ತಗುಲಬಹುದೆಂದು,to catch,noun,ು,no
೨೦೧೨ರಲ್ಲಿ,In 2012,noun,ಿ,no
ವಿಷಯಕ್ಕೆ,to the point,prefix,ೆ,yes
ಮೂಲಕ್ಕೆ,to the source,noun,ೆ,no
ಜಟಿಲ,complicated,noun,ಲ,yes
ಜೀವನಾಧಾರವೂ,Livelihood too,noun,ೂ,no
ನಿಭಾಯಿಸುವುದು,Coping with,noun,ು,no
ಸಂಸ್ಕರಣೆಗೂ,Processing,prefix,ೂ,yes
ಜಲವರ್ಧನೆ,Hydration,noun,ೆ,no
ಆಫ್ರಿಕ,Africa,noun,ಕ,yes
ಇನ್ನುಕೆಲವು,Some more,noun,ು,no
ವಿನಾ,without,prefix,ಾ,yes
ಒದಗಿಸುತ್ತದೆ,provides,noun,ೆ,no
ಕುರ್ಚಿ,a chair,noun,ಿ,no
ಅಧಿಕಾರಿಗಳು,Officers,prefix,ು,yes
ರದ್ದಾದ,cancelled,noun,ದ,yes
ವಾಕ್ಯಗಳನ್ನು,sentences,noun,ು,no
೭೧ಕ್ಕಿಂತ,than 71,noun,ತ,yes
ದೈವನಿಂದನೆ,Blasphemy,noun,ೆ,no
ದೋಷಾರೋಪಕ್ಕೆ,to impeachment,noun,ೆ,no
ಸರಿಯಾದ,correct,noun,ದ,yes
ಸಮುದಾಯವಾಗಿದ್ದು,It is a community,noun,ು,no
ಇತ್ಯಾದಿಗಳೇ,etc,noun,ೇ,no
ಸ್ಥಳವಾಗಿದೆ,is the place,noun,ೆ,no
ಶಕ್ತಿಯನ್ನು,Power,noun,ು,no
ರುಚಿಕರವಾದ,Delicious,noun,ದ,yes
ನೋಡಿ,see,noun,ಿ,no
ಇದು,This is,noun,ು,no
ಇತರ,Other,noun,ರ,yes
ಡೇಟೆ,Date,noun,ೆ,no
ವಿಮಾನ,the plane,prefix,ನ,yes
ಗಂಭೀರವಾಗಿ,Seriously,noun,ಿ,no
ಪುಟದಿಂದ,From the page,noun,ದ,yes
ಸಂಪ್ರದಾಯವಾದಿಗಳು,The traditionalists,prefix,ು,yes
ಲಿಪಿಯೂ,Script too,noun,ೂ,no
ದ್ವೀಪವನ್ನು,the island,noun,ು,no
ಮಾಡಿದ್ದಲ್ಲದೆ,Besides doing,noun,ೆ,no
ಸ್ಫೂರ್ತಿ,inspiration,noun,ಿ,no
ಸಾಹಿತ್ಯ,Literature,noun,ಯ,yes
ಓದು,read,noun,ು,no
ವಿಸ್ತರಿಸಿ,Expand,prefix,ಿ,yes
ಮಾರುಕಟ್ಟೆ,market,noun,ೆ,no
ಹೋಗು,go,noun,ು,no
ಬದಲಾಯಿಸಬಹುದು,can be changed,noun,ು,no
ಚೀಲವನ್ನು,bag,noun,ು,no
ತುರ್ತು,urgent,noun,ು,no
ಸಾಂಕ್ರಾಮಿಕ,Contagious,noun,ಕ,yes
ಆರಧಿಸುತ್ತಿದ್ದನ್ನು,worshiped,noun,ು,no
ಅಂಕೆ,Digit,prefix,ೆ,yes
ಮೂಲೆ,the corner,noun,ೆ,no
ಸರ್ಕಸ್ಸುಗಳು,Circuses,noun,ು,no
ಮೆರವಣಿಗೆಯು,The procession,noun,ು,no
ಅರ್ಚನೆ,worship,prefix,ೆ,yes
ಶಿಲಾಶಾಸನಗಳ,of epitaphs,noun,ಳ,no
ಲಿನಲ್ಲಿ,In Lin,noun,ಿ,no
ಕಂಡುಬಂದಿಲ್ಲ,not found,noun,ಲ,yes
ನಾಣ್ಯಗಳು,Coins,noun,ು,no
ಸಂಗ್ರಹಿಸಲಾಗಿದೆ,Collected,prefix,ೆ,yes
ಒರಿಸ್ಸದಲ್ಲಿನ,in Orissa,noun,ನ,yes
ತರುವಾತ,immediately,noun,ತ,yes
ಸಮೃದ್ಧಿ,Prosperity,noun,ಿ,no
ಬಾರ್ಕುರಿನಲ್ಲಿ,In Barkur,noun,ಿ,no
ಸಂಪಾದನೋತ್ಸವ,editing festival,prefix,ವ,yes
ಮುಡ್ಪಾಪಾವು,Mudpapau,noun,ು,no
ಸಂಪಾದಿಸಲಾಗಿದೆ,Edited,prefix,ೆ,yes
ಹಾಡಿನ,of the song,noun,ನ,yes
ರಚಿತವಾದ,created by,noun,ದ,yes
ಪ್ರತ್ಯೇಕಿಸುತ್ತದೆ,separates,prefix,ೆ,yes
ಹಾಡಬಹುದಾಗಿದೆ,Can be sung,noun,ೆ,no
ಮೂಲಸ್ವರಕ್ಕಿಂತ,than the vowel,noun,ತ,yes
ಸಿದ್ಧಾಂತವಾದಿಗಳು,theorists,noun,ು,no
ಸದಸ್ಯರಿಗೆ,For members,noun,ೆ,no
ಭಾಗವಾಗಿದೆ,is a part of,noun,ೆ,no
ಹುಲಿ,the tiger,noun,ಿ,no
ಮತಿಕೆಟ್ಟನ್,Matikettan,noun,್,no
ನೋಕ್ರೆಕ್,Nocrack,noun,್,no
ಕಾರ್ಬೆಟ್,Corbett,noun,್,no
ಲೀಟರುಗಳಷ್ಟು,in liters,noun,ು,no
ವ್ಯಾಪಾರೀ,a merchant,noun,ೀ,no
ಬೆಳಗಿಸಿತು,lit up,noun,ು,no
ದಟ್ಟವಾಗಿದ್ದರೆ,If dense,noun,ೆ,no
ಜಿ,G,noun,ಿ,no
ಮೂಲಗಳಿಂದ,From sources,noun,ದ,yes
ಬೃಹತ್,huge,noun,್,no
ಉಪಯೋಗವನ್ನು,Use,prefix,ು,yes
ಅವಧಿ,duration,prefix,ಿ,yes
ವಿಮರ್ಶೆಗಳೊಂದಿಗೆ,With reviews,prefix,ೆ,yes
ಸಹಕರಿಸಿ,Cooperate,noun,ಿ,no
ಹೆಚ್,H,noun,್,no
ಬೃಂದಾವನ,Brindavan,noun,ನ,yes
ಕನ್ನಡದ,Kannada,noun,ದ,yes
ವಿಷಯಗಳಲ್ಲಿ,Among the subjects,prefix,ಿ,yes
ಪಟ್ಟಿ,list,noun,ಿ,no
ಸರಳು,simple,noun,ು,no
ಪುರಾಣಗಳ,of Puranas,noun,ಳ,no
ಪೌರಾಣಿಕ,Legendary,noun,ಕ,yes
ಕೇರಳ,Kerala,noun,ಳ,no
ಕ್ರಿಯೇಟಿವ್,Creative,noun,್,no
ಅಡಿಯಲ್ಲಿ,under,prefix,ಿ,yes
ಬಳಸಲಾಯಿತು,was used,noun,ು,no
ಫಿಲ್ಮ್,film,noun,್,no
ದಶಾವತಾರ,Dashavatara,noun,ರ,yes
ಭಾರತ,India,noun,ತ,yes
ಮುಂದಿನ,Next,noun,ನ,yes
ಹೊಂದಿಕೊಂಡಂತಹ,like fitting,noun,ಹ,no
ಹಸುವಿನ,of the cow,noun,ನ,yes
ಇನ್,In,noun,್,no
ಇತರೆ,Other,noun,ೆ,no
ಇತ್ತೀಚೆಗಿನ,recent,noun,ನ,yes
ಗೌಳವ್,Gaulav,noun,್,no
ಕಾಸರಗೋಡು,Kasaragod,noun,ು,no
ಸ್ವತಂತ್ರ,independent,noun,ರ,yes
ಕರ್ಣನಿಗೆ,to Karna,noun,ೆ,no
ಮೊದಲನೆಯವನಾದ,Became the first,noun,ದ,yes
ಮಾಳವ,Malwa,noun,ವ,yes
ಈಗಿನ,present,noun,ನ,yes
ಹೊರಟ,left,noun,ಟ,no
ಮಗಳಾದ,As a daughter,noun,ದ,yes
ಇವನು,He is,noun,ು,no
ಹೆಮ್ಮೆಯ,of pride,noun,ಯ,yes
ದೇಶದ,of the country,noun,ದ,yes
ಅವಿರತ,incessantly,prefix,ತ,yes
ಮಹಾವಿದ್ಯಾಲಯದಲ್ಲಿ,In college,prefix,ಿ,yes
ಅವಿರೋಧವಾಗಿ,unequivocally,prefix,ಿ,yes
ಸನ್ಮಾನಿಸಿದೆ,honored,noun,ೆ,no
ನಡೆಸಿದ,Conducted,noun,ದ,yes
ನಿರಂಕುಶ,tyrannical,noun,ಶ,no
ಆಡುಮಾತಿನಲ್ಲಿ,Colloquially,noun,ಿ,no
ಮಾಡಲಾಗಿದೆ,done,noun,ೆ,no
ಸಾಂಪ್ರದಾಯಿಕವಾಗಿ,Traditionally,noun,ಿ,no
ಹಳ್ಳಿಗಳು,villages,noun,ು,no
ದಿನದಂದು,on the day,noun,ು,no
ಸಾಂಬಾ,Samba,noun,ಾ,no
ಸೇರಿಸಿ,add,noun,ಿ,no
ಹೊರಗಿನ,outside,noun,ನ,yes
ಅಡಗಿದ್ದ,was hidden,prefix,ದ,yes
ವಿಶ್ವವಿದ್ಯಾಲಯ,University,prefix,ಯ,yes
ಜೀವನ,life,noun,ನ,yes
ಪ್ರಬಂಧಗಳ,of theses,prefix,ಳ,yes
ಪೀಕಲಾಟ,Peekalata,noun,ಟ,no
ಮುಂತಾದ,such as,noun,ದ,yes
ಲೇಬಲ್,label,noun,್,no
ಉಂಟುಮಾಡುವಲ್ಲಿ,In causing,noun,ಿ,no
ಹೊದಿಕೆ,cover,noun,ೆ,no
ಹೆಚ್ಚಾಗಿರುವುದು,more,noun,ು,no
ರೆಡಿ,Ready,noun,ಿ,no
ಮುಂದುವರಿಸಿದೆ,Continued,noun,ೆ,no
ಇವು,These are,noun,ು,no
ಪ್ರತಿಕ್ರಿಯಿಸುತ್ತದೆ,responds,prefix,ೆ,yes
ಹೊಂದಿದ್ದರು,had,noun,ು,no
ಅಥಣಿ,Athani,prefix,ಿ,yes
ತಾವು,themselves,noun,ು,no
ಕಾದಂಬರಿಕಾರರು,Novelists,noun,ು,no
ವೃತ್ತಿ,career,noun,ಿ,no
ಕಟ್ಟಿದ,tied up,noun,ದ,yes
ಪಟ್ಟಣ,the town,noun,ಣ,yes
ದೇವಾಲಯವು,The temple,noun,ು,no
ಕೆರೆಗಳ,of lakes,noun,ಳ,no
ಸ್ಥಳವೆಂದರೆ,The place is,noun,ೆ,no
ಪ್ರತಿಷ್ಠಾಪಿಸಿ,establish,prefix,ಿ,yes
ತಡವಾಗಿ,too late,noun,ಿ,no
ನಾಮಕರಣ,nomenclature,noun,ಣ,yes
ಸ್ಥಾಪಿಸಿದರು,established,noun,ು,no
ಹೆಮ್ಮೆ,pride,noun,ೆ,no
ವಿವರಿಸುವಲ್ಲಿ,In explaining,prefix,ಿ,yes
ಸಂಗಾತಿ,spouse,prefix,ಿ,yes
ಬೋಧನೆಯ,of teaching,noun,ಯ,yes
ವಿರಳವಾಗಿ,Rarely,prefix,ಿ,yes
ವರ್ಷದ,of the year,noun,ದ,yes
ಚಲನಚಿತ್ರಕ್ಕಾಗಿ,For the movie,noun,ಿ,no
ಹಂತಗಳನ್ನು,steps,noun,ು,no
ವಿಮರ್ಶೆಗಳಿಗೆ,For reviews,prefix,ೆ,yes
ಚಾನಲ್,channel,noun,್,no
ಸಂದೇಶಗಳನ್ನು,messages,prefix,ು,yes
ಅಪ್,Up,prefix,್,yes
ತಕ್ಕಂತೆ,accordingly,noun,ೆ,no
ತಾಣವಾಗಿದೆ,is the destination,noun,ೆ,no
ಭದ್ರತಾ,Security,noun,ಾ,no
ತೆರಿಗೆಗೆ,to tax,noun,ೆ,no
ಪ್ರಿಯತಮನನ್ನು,Beloved,prefix,ು,yes
ವಿಭಿನ್ನ,Different,prefix,ನ,yes
ಇಟ್ಟು,put,noun,ು,no
ಮುಚ್ಚಲಾಗುತ್ತಿತ್ತು,was closing,noun,ು,no
